excel_row_number,orgname,filiing_period,filling_fee,late_returns,penalty_paid,outstanding_penalty,financial_year_ending_month,form_14,audit_report,requests_waiver_etc,date_received,received_by,filed_for_action_by_registry,date_filed_by_registry_for_action,designate_by_pco,date_assigned,review_acknowledgement,date_acknoledged_notice_sent,end_of_notice_period,notice_countdown
20,PATHWAY FOR LIVELIHHODS INITIATIVE ,2022,4000,1,,25000,May,2,,,2024-08-27 15:57:33.366000,Rukia Noor,,,,,,,,
21,CHANGE INITIATIVE FOR GENDER EMPOWERMENT,2023,2000, ,,,May,1,,,2024-08-28 15:03:42.510000,Esther Leting,,,,,,,,
22,ARID AND SEMI ARID LANDS INITIATIVES FOR ENVIRONMENTAL CONSERVATION AND DEVELOPMENT,2023,2000,,,,May,1,,,2024-08-28 15:13:51.354000,Esther Leting,,,,,,,,
23,UTELE FOUNDATION ,2023,2000,,,,June,1,,,2024-08-29 08:41:47.335000,Esther Leting,,,,,,,,
24,AFRICAN INITIATIVE FOR RURAL DEVELOPMENT ,2023,2000,,,,May,1,,,2024-08-29 09:48:30.829000,Esther Leting,,,,,,,,
25,FOCUSED APPROACH TO DEVELOPMENT CONCERN,2023,20000,10,,250000,December,10,,,2024-08-29 09:55:49.494000,Rukia Noor,,,,,,,,
26,INITIATIVE FOR DEVELOPMENT IN NORTHERN KENYA,2023,2000,,,,June,1,1,,2024-08-29 09:57:56.144000,Rukia Noor,,,,,,,,
27,AFRICA INTIATIVE FOR RURAL DEVELOPMENT,2023,2000,,,,May,1,1,,2024-08-29 11:41:55.114000,Rukia Noor,,,,,,,,
28,JIWEZE LEVELIHOOD DEVELOPMENT PROGRAMME,2023,2000,,,,June,1,,,2024-08-29 12:19:34.201000,Rukia Noor,,,,,,,,
29,PROJECT EDUCATION INC.,2023,2000,,,,May,1,,,2024-08-29 14:37:52.064000,Esther Leting,,,,,,,,
30,AFRICAN INSTITUTE FOR CHILDREN STUDIES,2023,,,,,May,1,1,,2024-08-29 14:42:10.610000,Esther Leting,,,,,,,,
31,DEAF OUTREACH PROGRAMME,2023,2000,,,,May,1,1,,2024-08-29 15:28:58.714000,Esther Leting,,,,,,,,
32,RISE TO SHINE EDUCATION FOUNDATION,,,,25000,,,,,,2024-08-29 15:53:28.572000,Esther Leting,,,,,,,,
33,DEVELOPMENT EDUCATION SERVICES FOR COMMUNITY EMPOWERMENT ENHANCING CLIMATE CHANGE SUSTAINABLE AGR,2019,2000,1,,25000,Dec,1,1,WAIVER,2024-08-29 15:58:20.841000,Esther Leting,,,Esther Letting,2024-09-03 07:56:14.224000,,,,
34,OUR LADY OF PERPETUAL SUPPORT FOR PEOPLE LIVING WITH AIDS AND,2023,2000,,,,May,1,1,,2024-08-29 16:03:33.500000,Esther Leting,,,,,,,,
35,AGRICULTURE IMPROVEMENT SUPPORT SERVICES ,2023,,,,,,,1,,2024-08-29 16:05:21.886000,Esther Leting,,,,,,,,
36,AFRICAN WORD DEVELOPMENT ORGANIZATION ,2023,2000,,,,June,1,1,AGM Minutes ,2024-08-29 16:10:47.370000,Esther Leting,,,,,,,,
37,NYAMULU AFRICA FOUNDATION ,2023,2000,,,,May,1,,,2024-08-30 08:56:40.790000,Esther Leting,,,,,,,,
38,AFRICAN INSTITUTE FOR CHILDREN STUDIES,2023,2000,,,,May,1,1,,2024-08-30 10:27:48.022000,Rukia Noor,,,,,,,,
39,IDEA COLLEGE,2023,2000,,,,June,1,,,2024-08-30 10:29:45.952000,Rukia Noor,,,,,,,,
40,"WOMEN, YOUTH & CHILDREN DEVELOPMENT ORGANIZATION",2023,2000,,,,May,1,,,2024-08-30 10:35:14.143000,Rukia Noor,,,,,,,,
41,"INTERNATIONAL ORGANIZATION FOR RELIEF, WELFARE AND DEVELOPMENT",2023,2000,1,25000,,December,1,1,,2024-08-30 10:38:03.397000,Rukia Noor,,,,,,,,
42,THE SAMBURU PROJECTS KENYA,2023,,,,,,,1,,2024-08-30 10:54:15.077000,Esther Leting,,,,,,,,
43,JULIUS &DORA CHILDRENS CENTRE,2023,2000,,,,May,1,,,2024-08-30 10:58:36.054000,Esther Leting,,,,,,,,
44,THE MAISH MADRUGADA FOUNDATION,2023,2000,1,,25000,December,,p,,2024-08-30 11:00:03.481000,Esther Leting,,,,,,,,
45,THE SAMBURU PROJECTS KENYA,2023,,,,,December,,1,,2024-08-30 11:03:02.961000,Rukia Noor,,,,,,,,
46,COMMUNITY BIO-ENVIRONMENTAL INTERVENTION PROGRAMME,2023,2000,,,,May,1,,,2024-08-30 14:29:32.509000,Esther Leting,,,,,,,,
47,BILDAD M. KAGGIA FOUNDATION ,2023,2000,,,,June,1,,,2024-08-30 14:45:42.476000,Esther Leting,,,,,,,,
48,BARIKI AFRICA & BEYOND,2023,,,,,,,1,,2024-08-30 16:54:32.175000,Esther Leting,,,,,,,,
49,RIPPLE LOVE ORGANIZATION,2023,2000,,,,June,1,,,2024-09-02 10:37:08.899000,Rukia Noor,,,,,,,,
50,INTERNATIONAL PRIME SERVICES ORGANIZATION,2023,2000,,,,May,1,,,2024-09-02 10:38:43.520000,Rukia Noor,,,,,,,,
51,JULIUS & DORA CHILDRENS CENTRE,2023,2000,,,,May,1,p,,2024-09-02 10:40:16.116000,Rukia Noor,,,,,,,,
52,KENYA HOMELESS STREET SOCCER ASSOCIATION PROGRAMME,2023,2000,,,,June,1,,,2024-09-02 10:41:37.623000,Esther Leting,,,,,,,,
53,THE MAISH MADRUGADA FOUNDATION,2023,2000,1,,25000,December,1,p,,2024-09-02 10:43:10.980000,Rukia Noor,,,,,,,,
54,LIFE IN ABUNDANCE KENYA,,,,,    ,,,1,,2024-09-02 10:44:19.352000,Rukia Noor,,,,,,,,
55,PIT TO PALACE INITIATIVE,2022-2023,4000,2,50000,,December,2,,,2024-09-02 10:45:29.900000,Rukia Noor,,,,,acknowledge,2024-09-20 15:24:54.894000,,
56,SAIDIA FURAHA ORGANIZATION,2023,2000,,,,June,1,1,,2024-09-02 10:52:36.178000,Rukia Noor,,,,,,,,
57,BILDAD M. KAGGIA FOUNDATION,2023,2000,,,,June,1,,,2024-09-02 10:55:09.640000,Rukia Noor,,,,,,,,
58,DRUGS ILLICIT BREW HIV/AIDS SECURITY & ENVIRONMENT,2023,2000,,,,May,1,,,2024-09-02 10:57:37.049000,Rukia Noor,,,,,,,,
59,KENYA HOMELESS STREET SOCCER ASSOCIATION PROGRAMME,2023,2000,,,,June,,,,2024-09-02 10:58:57.803000,Rukia Noor,,,,,,,,
60,ROOTS & WINGS RESEARCH &DEVELOPMENT ORGANIZATION,2023,2000,,,,May,1,1,,2024-09-02 11:01:01.307000,Rukia Noor,,,,,,,,
61,KULEA CHILDCARE VILLAGE KENYA,2017-2023,14000,7,,225000,December,7,,,2024-09-02 12:00:53.240000,Esther Leting,,,,,"to pay penalty of KES.225,000/-",2024-09-03 10:28:25.088000,2024-09-24 00:00:00,0
62,FOCUSSED APPROACH TO DEVELOPMENT CONCERN,2014 - 2023,20000,9,,225000,June,10,,,2024-09-02 12:31:54.020000,Esther Leting,,,,,"To pay penalty of KES.225,000/-",2024-09-02 16:51:51.553000,2024-09-22 00:00:00,0
63,THE FEDERATION OF THE ASSOCIATION THAT VALUE HUMANITY,,,,,,,,,amended Form 14 for 2023,2024-09-02 14:27:50.268000,Esther Leting,,,,,,,,
64,PHARMACCESS FOUNDATION KENYA,,,,,,,,1,,2024-09-02 15:26:53.016000,Rukia Noor,,,,,,,,
65,PENDEKEZO LETU,2023,2000,1,25000,,December,1,1,,2024-09-02 16:15:22.812000,Esther Leting,,,,,,,,
66,FOCUS FOR RURAL ECONOMIC EMPOWERMENT AND DEVELOPMENT,2022-2023,4000,2,,50000,December,2,,waiver,2024-09-02 16:17:39.662000,Esther Leting,,,,,"To  pay  penalty of KES.150,00/- ",2024-09-04 09:25:25.083000,2024-09-26 00:00:00,0
67,MUMIAS KIDS CENTRE ,,,,,,,,1,,2024-09-04 09:35:16.439000,Esther Leting,,,,,,,,
68,BESSA INTEGRATED DEVELOPMENT PROGRAMME,2023,2000,,,,May,1,,,2024-09-04 09:43:36.034000,Esther Leting,,,,,,,,
69,KENYA CHANGE AGENT,2023,2000,,,,May,1,,,2024-09-04 09:44:58.936000,Esther Leting,,,,,,,,
70,HOPE WOMEN GROUP AND CHILDREN CENTRE,2023,2000,,,,March,1,,,2024-09-04 09:46:38.327000,Esther Leting,,,,,,,,
71,POVERTY ERADICATION AND COMMUNITY EMPOWERMENT,2023,2000,,,,March,1,,,2024-09-05 09:13:29.079000,Esther Leting,,,,,,,,
72,ACTIVE COMMUNITY INTERNATIONAL,2023,2000,,,,June,1,,,2024-09-05 09:15:33.658000,Esther Leting,,,,,,,,
73,GREEP KENYA ,"2019,2021 - 2023",8000,4,,100000,December,4,,WAIVER,2024-09-05 09:17:01.505000,Esther Leting,,,,,,,,
74,AMERICAN FRIENDS SERVICE COMMITTEE ,,,,,,,,1,,2024-09-05 09:17:58.275000,Esther Leting,,,,,,,,
75,SOUTHERN RESOURCES DEVELOPMENT AGENCY,2023,2000,,,,June,1,,,2024-09-05 09:21:27.222000,Esther Leting,,,,,,,,
76,PROGRAMME FOR APPROPRIATE TECHNOLOGY IN HEALTH,,,,,,,,1,,2024-09-05 11:52:26.360000,Esther Leting,,,,,,,,
77,YOUNG JEWELS FOUNDATION ,2023,2000,,,,June,1,,,2024-09-06 08:49:26.372000,Esther Leting,,,,,,,,
78,I GROW AFRICA CENTRE,"2022, 2023",2000,2,,50000,December,2,,waiver,2024-09-06 08:51:20.503000,Esther Leting,,,,,,,,
79,ACCOUNTABILITY INITIATIVE INTERNATIONAL,2020-2023,8000,4,,100000,December,4,,waiver,2024-09-06 16:19:43.468000,Esther Leting,,,,,,,,
80,"INTERNATIONAL JUSTICE MISSION, KENYA",,,,,,,,1,waiver,2024-09-09 14:39:44.544000,Esther Leting,,,,,,,,
81,ONELIFE AFRICA ,"2013.2020,2021",,,,,,,3,,2024-09-09 14:41:30.583000,Esther Leting,,,,,,,,
82,KALYET AFYA FOUNDATION,2022,2000,1,25000,,December,,,,2024-09-09 14:46:14.859000,Esther Leting,,,,,,,,
83,HUMANITY BEYOND BORDERS,2023,2000,,,,June,1,,,2024-09-10 10:43:02.028000,Esther Leting,,,,,,,,
84,MANEE KENYA NGO,2023,2000,,,,June,1,,,2024-09-10 11:44:11.945000,Esther Leting,,,,,,,,
85,TRAID OF SOLACE,,,,25000,50000,,,,client request to pay in installment the balance ,2024-09-10 12:41:37.395000,Esther Leting,,,,,,,,
86,NORTHERN AID DEVELOPMENT AGENCY,2023,2000,1,,25000,December,1,1,,2024-09-10 14:45:35.231000,Rukia Noor,,,,,,,,
87,TUMAINII MEDICAL CENTRE,2023,,,,,,,1,,2024-09-10 15:43:37.200000,Esther Leting,,,,,,,,
88,ONE LIFE AFRICA,2023,2000,1,,25000,December,1,pending,submited audited accunt for 2013 and 2017,2024-09-10 15:44:46.812000,Esther Leting,,,,,,,,
89,ACCOUNTABILITY INITIATIVE INTERNATIONAL,2020-2023,8000,4,,100000,December,4,,waiver request,2024-09-12 12:04:20.434000,Rukia Noor,,,,,,,,
90,INTERNATIONAL SPORTS PEACE FOUNDATION,2017 - 2023                       ,14000,7,,175000,December,7,,,2024-09-13 15:31:30.967000,Esther Leting,,,,,,,,
91,STARA PEACE WOMEN ORGANIZATION ,2023,2000,,,,August,1,1,,2024-09-13 15:33:02.539000,Esther Leting,,,,,,,,
92,GENERAL WELFARE INTERNATIONAL FOUNDATION,2023,2000,,,,June,1,,,2024-09-16 09:30:34.230000,Rukia Noor,,,,,,,,
93,OASIS OF LIFE ORGANIZATION,2023,2000,,,,June,1,,,2024-09-16 09:31:19.905000,Rukia Noor,,,,,,,,
94,CENTRE FOR PUBLIC HEALTH & DEVELOPMENT,2023,2000,1,25000,,December,1,1,,2024-09-16 09:32:52.637000,Rukia Noor,,,,,,,,
95,AMANI COUNSELLING CENTRE & TRAINING INSTITUTE,,,,,,,,1,,2024-09-16 09:33:45.215000,Rukia Noor,,,,,,,,
96,CHILDREN OF AFRICA ORGANIZATION,2023,2000,,,,June,1,1,,2024-09-16 09:35:28.220000,Rukia Noor,,,,,,,,
97,WOMEN ACTION AGAINST POVERTY,2023-2023,22000,10,,250000,December,11,,,2024-09-16 09:38:01.550000,Rukia Noor,,,,,,,,
98,KENYA AIDS NGOS CONSORTIUM,2023,,,,,,,1,,2024-09-16 09:41:04.978000,Rukia Noor,,,,,,,,
99,THE RHINO ARK KENYA CHARITABLE TRUST,2023,2000,1,25000,,December,1,1,,2024-09-16 09:59:01.984000,Rukia Noor,,,,,,,,
100,URGENT ACTION FUND AFRICA ,,,,25000,,,,,,2024-09-17 11:34:15.137000,Esther Leting,,,,,,,,
101,AGENCY TECHNICAL COOPERATION AND DEVELOPMENT ,2023,,,,,,,1,Amended Form 14,2024-09-17 11:35:23.648000,Esther Leting,,,,,,,,
102,GEORGE HABIL GIRL CHILD FOUNDATION ,2023,2000,1,25000,,December,1,,,2024-09-17 11:39:01.617000,Esther Leting,,,,,,,,
103,FRIENDS OF LIFE FOR ZERO HUNGER 1ST FORUM,2023,2000,,,,May,1,,,2024-09-17 11:40:53.905000,Esther Leting,,,,,,,,
104,MEDICAL ACCADEMY OF  RESEARCH AND TRAINING FOR COMMUNITY EMPOWERMENT,2020-2023,8000,4,,100000,December,4,,,2024-09-17 11:43:40.667000,Esther Leting,,,,,,,,
105,REGIONAL DISASTER PREPAREDNESS PROGRAM,2023,2000,,,,June,1,,,2024-09-17 11:51:55.894000,Esther Leting,,,,,,,,
106,CITIZEN VOICE & ACTION NETWORK KENYA,2023,2000,,,,June,,,,2024-09-17 11:53:25.077000,Esther Leting,,,,,,,,
107,HOPE TO LIFE CHARITY ORGANIZATION ,2022,,,,,,,,,2024-09-18 11:28:38.801000,Esther Leting,,,,,,,,
108,URGENT ACTION FUND AFRICA ,,,,25000,,,,1,,2024-09-18 11:29:59.353000,Esther Leting,,,,,,,,
109,NETWORK OF AFRICAN SCIENCES ACADEMIES,,,,,,,,1,amended Form 14,2024-09-18 11:33:13.515000,Esther Leting,,,,,,,,
110,KITO INTERNATIONAL,2019-2020,4000,2,50000,,December,2,,,2024-09-18 11:35:05.937000,Esther Leting,,,,,,,,
111,PROJECT GIRL IMAGE ORGANIZATION,2023,2000,,,,August,1,,,2024-09-18 11:36:18.049000,Esther Leting,,,,,,,,
112,INSTITUTE OF COMMUNICATION AND DEVELOPMENT INTERNATIONAL,2023,2000,,,,June,1,,,2024-09-18 11:37:11.589000,Esther Leting,,,,,,,,
113,GLOBAL HOE NETWORK INTERNATIONAL,2023,2000,,,,June,1,1,,2024-09-18 11:39:33.296000,Esther Leting,,,,,,,,
114,MERCY USA FOR AID AND DEVELOPMENT,2023,2000,1,,25000,June,1,1,,2024-09-18 11:40:57.524000,Esther Leting,,,,,,,,
115,NOONKOPIR AFYA FOUNDATION,2023,2000,,,,June,1,,,2024-09-20 08:40:11.350000,Esther Leting,,,,,,,,
116,EMPOWERHEALTH FOR COMMUNITY DEVELOPMENT ,2023,2000,,,,June,1,,,2024-09-20 08:40:59.532000,Esther Leting,,,,,,,,
117,ST. JUDES HURUMA COMMUNITY HEALTH SERVICES,2023,2000,,,,July,1,P,,2024-09-20 08:42:46.711000,Esther Leting,,,,,,,,
118,CHILDRENS' FORTRESS AFRICA ,2023,2000,,,,June,1,1,,2024-09-20 08:44:32.697000,Esther Leting,,,,,,,,
119,INSTITUTE FOR DEVELOPMENT AND LEADERSHIP IN AFRICA ,2023,2000,1,,25000,December,1,,,2024-09-20 08:46:08.876000,Esther Leting,,,,,,,,
120,NOMADIC ASSISTANCE FOR PEACE AND DEVELOPMENT,2023,2000,1,25000,,February,1,1,,2024-09-20 08:47:36.428000,Esther Leting,,,,,,,,
121,CENTRE FOR HEALTH ADVOCACY GENDER &EDUCATION ,2023,2000,,,,June,1,,narrative report,2024-09-20 08:49:46.425000,Esther Leting,,,,,,,,
122,CENTRE FOR SUSTAINABLE CONFLICT RESOLUTIONS,2023,,,,,,,1,,2024-09-20 08:50:48.130000,Esther Leting,,,,,,,,
123,INTERMEDIATE DEVELOPMENT PLAN OF ACTION ,2023,2000,,,,June,1,,,2024-09-20 08:52:13.987000,Esther Leting,,,,,,,,
124,NAISULA LESUUDA PEACE FOUNDATION,,,,150000,,,,,,2024-09-20 08:52:13.987000,,,,,,,,,
125,WAKE-UP WOMEN ORGANIZATION ,2023,2000,,,,June,1,,,2024-09-20 15:17:58.683000,Esther Leting,,,,,,,,
126,SOS KINDERDORF INTERNATIONAL,,,,,,,,1,,2024-09-20 15:18:33.555000,Esther Leting,,,,,,,,
127,PRACTICAL ACTION ,2023,,,,,,,1,,2024-09-20 16:10:48.331000,Esther Leting,,,,,,,,
128,WAKE UP WOMEN ORGANIZATION ,2023,2000,,,,June,1,,,2024-09-25 07:35:50.185000,Esther Leting,,,,,,,,
129,KITO INTERNATIONAL,20192020,4000,2,,50000,December,2,,request for waiver,2024-09-25 07:37:07.021000,Esther Leting,,,,,,,,
130,THE OUTSTRETCHED ARMS HAVEN,2023,2000,,,,June,1,,,2024-09-25 07:39:27.105000,Esther Leting,,,,,,,,
131,GIFTED HANDS CHARITY FOUNDATION,2023,,,,,June,,,Management accounts,2024-09-25 07:40:27.711000,Esther Leting,,,,,,,,
132,PRACTICAL ACTION,,,,,,,,1,,2024-09-25 07:42:10.095000,Esther Leting,,,,,,,,
133,SOS KINDERDORF INTERNATIONAL,,,,,,,,1,,2024-09-25 07:44:18.016000,Esther Leting,,,,,,,,
134,EZESHA JAMII FOUNDATION,2023,2000,,,,May,1,,,2024-09-25 07:47:00.122000,Esther Leting,,,,,,,,
135,PROTUS AKUJAH FOUNDATION ,,,,,,,,,,2024-09-25 07:48:53.459000,,,,,,,,,
136,PROTUS AKUJAH FOUNDATION ,2023,2000,,,,June,1,,,2024-09-25 07:50:07.548000,Esther Leting,,,,,,,,
137,VISION SELF HELP PROGRAMME,2023,2000,,,,June,1,,,2024-09-25 07:51:30.578000,Esther Leting,,,,,,,,
138,TRANSFORMATIONAL LEADERSHIP IN AFRICA ,2023,,,,,,,1,,2024-09-25 07:52:38.633000,Esther Leting,,,,,,,,
139,ANOTHER CHANCE INITIATIVE ,2023,2000,,,,June,1,,,2024-09-25 07:54:30.233000,Esther Leting,,,,,,,,
140,WORLD COMP KENYA RELIEF INTERNATIONAL,2022-2023,4000,2,50000,,December,2,,,2024-09-25 07:56:30.474000,Esther Leting,,,,,requested for bank statements ,2024-10-01 12:27:46.062000,2024-10-22 00:00:00,0
141,SYCAMORE INTERNATIONAL ACADEMIC& MATERIAL SUPPORT CENTRE,2023,2000,, ,,June,1,,,2024-09-25 07:59:03.391000,Esther Leting,,,,,,,,
142,BRITISH INSTITUTE IN EASTERN AFRICA ,2023,2000,,,,March,1,1,,2024-09-25 08:00:38.812000,Esther Leting,,,,,,,,
143,INTERNATIONAL COMMITTEE FOR THE DEVELOPMENT OF PEOPLE,2023,,,,,,,1,Amended Form 14 ,2024-09-27 08:01:42.895000,Esther Leting,,,,,,,,
144,AGING KENYA,2023,2000,,,,June,1,,,2024-09-27 08:03:04.134000,Esther Leting,,,,,,,,
145,HUMAN RIGHTS WATCH,2023,2000,,,,June,1,P,,2024-09-27 08:03:47.444000,Esther Leting,,,,,,,,
146,IMARISHA RIGHTS CENTER,2023,2000,,,,June,1,,,2024-09-27 08:05:04.772000,Esther Leting,,,,,,,,
147,MUKURU SLUMS DEVELOPMENT PROJECTS,2023,2000,1,25000,,December,1,1,,2024-09-27 08:06:20.349000,Esther Leting,,,,,,,,
148,EWANGAN CHILD DEVELOPMENT PROGRAMME,2023,2000,,,,June,1,P,DRAFT ACCOUNT,2024-09-27 08:08:32.089000,Esther Leting,,,,,,,,
149,SAMBURU CHILDRENS PROGRAMME,2023,2000,,,,June,1,P,DRAFT,2024-09-27 08:09:47.514000,Esther Leting,,,,,,,,
150,KISARU NKERA INITIATIVES,2023,2000,,,,June,1,1,,2024-09-27 08:11:24.018000,Esther Leting,,,,,,,,
151,ANTI-DYSTONIA LOCAL ORGANIZATION ,2023,2000,,,,June,1,,,2024-09-27 08:15:26.903000,Esther Leting,,,,,,,,
152,KITALE COMMUNITY ADVANCEMENT PROGRAMME,2023,2000,,,,June,1,1,,2024-09-27 08:17:44.413000,Esther Leting,,,,,,,,
153,EASTERN COMMUITY DEVELOPMENT PROGRAMME,2023,2000,,,,June,1,P,DRAFT,2024-09-27 08:20:23.975000,Esther Leting,,,,,,,,
154,KUFIKIA INTERNATIONAL,2023,2000,,,,May,1,P,,2024-09-27 08:21:18.897000,Esther Leting,,,,,,,,
155,INTERSOLACE ORGANIZATION ,2023,2000,,,,June,1,,,2024-09-27 08:22:57.551000,Esther Leting,,,,,,,,
156,NAWIRI CHILD DEVELOPMENT PROGRAMME,2023,2000,,,,June,1,1,,2024-09-27 08:24:19.558000,Esther Leting,,,,,,,,
157,AFRICAN RESEARCH CENTER FOR LIVELIHOOD RESTORATION AND SOCIAL RESPONSIBILITY,2023,2000,,,,June,1,,,2024-09-27 08:25:58.454000,Esther Leting,,,,,,,,
158,COMMUNITY ANTI POVERTY ENLIGHTMENT PROGRAMME,2023,2000,,,,June,1,,,2024-09-27 08:28:03.730000,Esther Leting,,,,,,,,
159,GLOBAL SCHOOL PARTNERS ,2023,P,,,,June,1,,,2024-09-27 08:35:16.922000,Esther Leting,,,,,,,,
160,HOPE BEYOND INITIATIVE,2017-2024,16000,7,,175000,May,8,,WAIVER REQUEST,2024-09-27 08:40:38.152000,Esther Leting,,,,,,,,
161,GOOD NEWS INTERNATIONAL,2023,2000,,,,June,1,,,2024-09-27 08:41:53.054000,Esther Leting,,,,,,,,
162,WORLD NEIGHBORS ,2023,2000,,,,June,1,1,,2024-09-27 08:43:11.034000,Esther Leting,,,,,,,,
163,CHILDRISE DEVELOPMENT PROGRAMME,2023,2000,,,,June,1,P,DRAFT,2024-09-27 08:44:35.226000,Esther Leting,,,,,,,,
164,SUPPORT WIDNOWS & ORHANS PROGRAMME,2023,2000,,,,June,1,,,2024-09-27 08:45:35.015000,Esther Leting,,,,,,,,
165,GLOBAL WELFARE PROGRAMME & PROJECT,2023,2000,,,,June,1,,,2024-09-27 09:28:20.719000,Esther Leting,,,,,,,,
166,PRACTICAL SOLUTIONS FOR PASTORALIST DEVELOPMENT ,2023,,,25000,,,,,,2024-09-27 09:36:49.492000,Esther Leting,,,,,,,,
167,SAFERWORLD ,2023,,,,,,,1,,2024-09-27 09:38:00.354000,Esther Leting,,,,,,,,
168,WAJIR SOUTH DEVELOPMENT ASSOCIATION -,2021-2022,,,,,,,3,,2024-09-27 09:40:59.835000,Esther Leting,,,,,,,,
169,COMMUNITY ORGANIZATION AND TRAINING FOR RISK REDUCATION ,2023,2000,,,,June,1,1,,2024-09-27 09:42:23.928000,Esther Leting,,,,,,,,
170,COMMUNITY HEALTH RESEARCH AND CONSULTANCY INTERNATIONAL,2023,2000,,,,June,1,,project report,2024-09-27 10:52:00.304000,Esther Leting,,,,,,,,
171,SUSTAINABLE AGRICULTURE COMMUNITY DEVELOP MENT PROGRAMME,,,,,,,,1,amended Form 14 ,2024-09-27 12:31:24.864000,Esther Leting,,,,,,,,
172, EMALI DEDICATED CHILDRENS AGENCY,2023,2000,,,,June,1,P,draft accounts,2024-09-27 12:32:30.208000,Esther Leting,,,,,,,,
173,CENTRE FOR HEALTH AND EDUCATION PROGRAMMME,2023,,,,,,,1,Draft,2024-09-30 08:31:34.442000,Esther Leting,,,,,,,,
174,ONELIFE AFRICA,,,,25000,,,,,,2024-09-30 09:04:01.072000,Esther Leting,,,,,,,,
175,RIFFLE EFFECT,2023,2000,,,,June,1,1,,2024-09-30 09:05:26.601000,Esther Leting,,,,,,,,
176,RIPPLE EFFECT KENYA,2023,2000,,,,June,1,1,,2024-09-30 09:06:37.667000,Esther Leting,,,,,,,,
177,"KICKSTART INTERNATIONAL INC,",2023,2000,,,,June,1,p,draft accounts,2024-09-30 09:07:03.958000,Esther Leting,,,,,,,,
178,SAHEL RESEARCH AND STRATEGY GROUP,,,,,,,,,waiver,2024-09-30 09:08:31.252000,Esther Leting,,,,,,,,
179,EMMA JALAMO FOUNDATION,2021-2023,6000,3,,75000,December,3,,waiver ,2024-09-30 09:09:39.498000,Esther Leting,,,,,,,,
